iter	Passed	Remaining
1187	7571	24293
1188	7577	24287
1189	7582	24277
1190	7590	24277
1191	7598	24273
1192	7604	24266
1193	7611	24262
1194	7618	24258
1195	7624	24250
1196	7631	24245
1197	7637	24239
1198	7644	24233
1199	7652	24231
1200	7659	24228
1201	7667	24225
1202	7673	24219
1203	7680	24214
1204	7688	24213
1205	7694	24206
1206	7700	24199
1207	7705	24188
1208	7712	24183
1209	7720	24182
1210	7727	24176
1211	7736	24180
1212	7743	24174
1213	7750	24171
1214	7758	24169
1215	7767	24169
1216	7771	24157
1217	7779	24155
1218	7786	24150
1219	7794	24148
1220	7801	24145
1221	7807	24136
1222	7813	24130
1223	7820	24126
1224	7827	24121
1225	7832	24111
1226	7843	24117
1227	7850	24114
1228	7860	24117
1229	7878	24146
1230	7896	24176
1231	7905	24179
1232	7914	24180
1233	7920	24173
1234	7929	24172
1235	7936	24170
1236	7943	24164
1237	7950	24158
1238	7957	24155
1239	7964	24151
1240	7971	24146
1241	7978	24142
1242	7985	24136
1243	7992	24131
1244	8000	24128
1245	8007	24125
1246	8014	24120
1247	8022	24118
1248	8028	24110
1249	8035	24105
1250	8041	24099
1251	8048	24094
1252	8055	24090
1253	8062	24083
1254	8069	24079
1255	8075	24072
1256	8082	24066
1257	8092	24071
1258	8105	24085
1259	8122	24109
1260	8138	24132
1261	8157	24162
1262	8170	24176
1263	8177	24171
1264	8186	24171
1265	8194	24169
1266	8202	24166
1267	8208	24158
1268	8215	24154
1269	8221	24147
1270	8228	24142
1271	8237	24141
1272	8243	24134
1273	8250	24130
1274	8258	24127
1275	8264	24120
1276	8271	24115
1277	8278	24111
1278	8284	24103
1279	8292	24099
1280	8300	24097
1281	8306	24091
1282	8313	24085
1283	8320	24079
1284	8326	24073
1285	8333	24068
1286	8341	24064
1287	8346	24055
1288	8354	24052
1289	8361	24046
1290	8368	24042
1291	8375	24037
1292	8381	24030
1293	8393	24037
1294	8410	24061
1295	8429	24091
1296	8436	24087
1297	8443	24081
1298	8450	24076
1299	8459	24076
1300	8467	24075
1301	8474	24068
1302	8480	24062
1303	8488	24058
1304	8495	24055
1305	8502	24048
1306	8509	24043
1307	8516	24039
1308	8524	24036
1309	8530	24029
1310	8537	24022
1311	8543	24015
1312	8551	24011
1313	8557	24004
1314	8563	23997
1315	8570	23992
1316	8578	23991
1317	8585	23984
1318	8591	23977
1319	8598	23971
1320	8605	23967
1321	8612	23962
1322	8619	23955
1323	8625	23947
1324	8631	23939
1325	8637	23931
1326	8643	23923
1327	8650	23918
1328	8658	23915
1329	8665	23911
1330	8672	23906
1331	8680	23903
1332	8686	23896
1333	8693	23890
1334	8700	23885
1335	8708	23881
1336	8715	23877
1337	8722	23871
1338	8729	23866
1339	8735	23860
1340	8742	23854
1341	8749	23848
1342	8755	23840
1343	8762	23835
1344	8770	23833
1345	8778	23830
1346	8786	23827
1347	8792	23820
1348	8797	23810
1349	8804	23804
1350	8812	23800
1351	8817	23791
1352	8824	23785
1353	8830	23778
1354	8837	23773
1355	8844	23768
1356	8850	23759
1357	8858	23756
1358	8864	23750
1359	8871	23745
1360	8878	23739
1361	8885	23734
1362	8891	23724
1363	8898	23719
1364	8904	23713
1365	8911	23708
1366	8917	23700
1367	8925	23696
1368	8931	23688
1369	8938	23683
1370	8945	23678
1371	8952	23673
1372	8959	23668
1373	8966	23662
1374	8973	23657
1375	8981	23653
1376	8988	23648
1377	8995	23643
1378	9002	23638
1379	9008	23630
1380	9016	23628
1381	9022	23621
1382	9029	23613
1383	9036	23609
1384	9043	23603
1385	9056	23614
1386	9073	23636
1387	9087	23649
1388	9104	23668
1389	9117	23678
1390	9124	23674
1391	9133	23674
1392	9139	23665
1393	9146	23658
1394	9152	23653
1395	9159	23647
1396	9166	23640
1397	9173	23636
1398	9179	23628
1399	9186	23623
1400	9193	23617
1401	9199	23609
1402	9207	23605
1403	9214	23599
1404	9220	23592
1405	9228	23589
1406	9236	23585
1407	9242	23579
1408	9249	23574
1409	9255	23566
1410	9262	23558
1411	9269	23553
1412	9274	23543
1413	9281	23539
1414	9289	23534
1415	9295	23528
1416	9302	23521
1417	9308	23513
1418	9315	23508
1419	9323	23504
1420	9329	23498
1421	9336	23492
1422	9344	23488
1423	9359	23504
1424	9376	23523
1425	9388	23531
1426	9404	23546
1427	9422	23570
1428	9440	23590
1429	9452	23598
1430	9466	23609
1431	9480	23622
1432	9495	23635
1433	9506	23641
1434	9515	23638
1435	9523	23636
1436	9529	23628
1437	9536	23622
1438	9545	23622
1439	9552	23615
1440	9558	23608
1441	9566	23603
1442	9572	23596
1443	9578	23587
1444	9585	23581
1445	9592	23576
1446	9599	23570
1447	9606	23565
1448	9614	23560
1449	9620	23554
1450	9627	23547
1451	9634	23542
1452	9641	23535
1453	9647	23529
1454	9654	23522
1455	9661	23515
1456	9667	23507
1457	9674	23501
1458	9682	23499
1459	9688	23491
1460	9694	23482
1461	9701	23476
1462	9709	23473
1463	9716	23469
1464	9727	23472
1465	9743	23488
1466	9750	23481
1467	9756	23474
1468	9763	23467
1469	9770	23461
1470	9776	23455
1471	9781	23443
1472	9787	23435
1473	9795	23430
1474	9801	23424
1475	9809	23419
1476	9816	23413
1477	9822	23406
1478	9830	23402
1479	9835	23393
1480	9841	23385
1481	9847	23376
1482	9854	23370
1483	9860	23363
1484	9867	23356
1485	9878	23359
1486	9884	23352
1487	9892	23347
1488	9898	23341
1489	9904	23332
1490	9911	23326
1491	9917	23319
1492	9924	23312
1493	9931	23307
1494	9939	23301
1495	9946	23297
1496	9951	23287
1497	9958	23281
1498	9965	23275
1499	9972	23270
1500	9979	23263
1501	9986	23258
1502	9993	23252
1503	9999	23244
1504	10007	23239
1505	10012	23229
1506	10019	23223
1507	10026	23217
1508	10032	23209
1509	10039	23203
1510	10046	23197
1511	10053	23192
1512	10061	23187
1513	10069	23184
1514	10076	23178
1515	10083	23173
1516	10090	23166
1517	10097	23161
1518	10104	23154
1519	10110	23146
1520	10117	23142
1521	10125	23137
1522	10131	23131
1523	10140	23128
1524	10147	23122
1525	10153	23114
1526	10160	23108
1527	10166	23101
1528	10174	23096
1529	10181	23091
1530	10188	23084
1531	10195	23080
1532	10203	23076
1533	10210	23069
1534	10217	23063
1535	10224	23057
1536	10232	23053
1537	10239	23049
1538	10246	23043
1539	10253	23037
1540	10261	23032
1541	10268	23028
1542	10275	23022
1543	10282	23015
1544	10289	23009
1545	10295	23001
1546	10303	22997
1547	10309	22990
1548	10317	22985
1549	10324	22980
1550	10332	22975
1551	10339	22971
1552	10346	22964
1553	10354	22961
1554	10361	22956
1555	10369	22951
1556	10376	22944
1557	10385	22943
1558	10392	22937
1559	10400	22934
1560	10409	22932
1561	10418	22930
1562	10425	22926
1563	10430	22915
1564	10438	22911
1565	10449	22915
1566	10463	22924
1567	10479	22937
1568	10494	22949
1569	10508	22958
1570	10526	22975
1571	10533	22969
1572	10540	22964
1573	10546	22956
1574	10554	22951
1575	10561	22945
1576	10568	22939
1577	10575	22932
1578	10581	22925
1579	10588	22920
1580	10593	22909
1581	10599	22900
1582	10605	22892
1583	10612	22886
1584	10619	22880
1585	10625	22873
1586	10633	22868
1587	10640	22862
1588	10647	22856
1589	10654	22850
1590	10662	22845
1591	10669	22839
1592	10674	22830
1593	10681	22823
1594	10687	22816
1595	10694	22809
1596	10701	22803
1597	10708	22797
1598	10715	22791
1599	10722	22786
1600	10730	22781
1601	10737	22774
1602	10744	22769
1603	10751	22762
1604	10759	22758
1605	10768	22756
1606	10775	22750
1607	10782	22744
1608	10789	22739
1609	10796	22733
1610	10804	22729
1611	10811	22723
1612	10819	22717
1613	10825	22711
1614	10833	22705
1615	10839	22698
1616	10845	22690
1617	10852	22683
1618	10860	22679
1619	10866	22672
1620	10874	22667
1621	10881	22661
1622	10887	22653
1623	10894	22647
1624	10900	22639
1625	10908	22635
1626	10915	22628
1627	10922	22622
1628	10931	22621
1629	10945	22629
1630	10965	22651
1631	10974	22647
1632	10983	22645
1633	10991	22641
1634	10997	22633
1635	11004	22628
1636	11012	22623
1637	11018	22616
1638	11026	22610
1639	11033	22604
1640	11039	22597
1641	11047	22592
1642	11053	22585
1643	11059	22576
1644	11064	22565
1645	11071	22559
1646	11077	22552
1647	11084	22546
1648	11091	22539
1649	11099	22534
1650	11106	22528
1651	11112	22521
1652	11120	22516
1653	11127	22510
1654	11135	22506
1655	11141	22498
1656	11148	22492
1657	11156	22487
1658	11163	22482
1659	11169	22473
1660	11175	22466
1661	11181	22456
1662	11186	22446
1663	11193	22440
1664	11202	22438
1665	11207	22428
1666	11212	22418
1667	11219	22411
1668	11226	22406
1669	11233	22400
1670	11241	22394
1671	11247	22386
1672	11253	22379
1673	11260	22372
1674	11265	22362
1675	11280	22372
1676	11295	22382
